time/iterations,time/fps,time/total_timesteps,time/time_elapsed,train/reward,train/n_updates,train/explained_variance,train/policy_gradient_loss,train/std,train/clip_range,train/entropy_loss,train/loss,train/value_loss,train/clip_fraction,train/learning_rate,train/approx_kl
35,2964,71680,24,-0.013507141,340,-0.00044608116149902344,-0.0029475109506165607,1.0210988521575928,0.2,-1.438896608352661,506.3091125488281,1562.5831588745118,0.035498046875,0.0001,0.0040759114
36,2971,73728,24,313.80078,350,-0.0010246038436889648,-0.000876300674281083,1.0278035402297974,0.2,-1.4429326578974724,2702.575927734375,6115.300793457031,0.006640625,0.0001,0.0047709486
37,2967,75776,25,3.4960082,360,-0.0003489255905151367,-9.00792161701247e-05,1.0283095836639404,0.2,-1.446698933839798,39598.203125,87590.86479492187,0.0,0.0001,2.9285497e-05
38,2975,77824,26,-82.06308,370,0.000633537769317627,-0.0012516502931248397,1.029470443725586,0.2,-1.4473235175013541,36704.37890625,78626.88911132813,9.765625e-05,0.0001,0.0014219608
39,2973,79872,26,-74.95203,380,0.00024706125259399414,-4.889507545158267e-05,1.029942512512207,0.2,-1.4482601225376128,120352.375,258866.939453125,0.0,0.0001,8.289781e-05
40,2971,81920,27,0.21838818,390,-0.0021619796752929688,-0.0001038270682329312,1.0300366878509521,0.2,-1.448520889878273,9964.7529296875,19939.028051757814,0.0,0.0001,3.6369602e-06
1,4212,2048,0,2.4000082,400,-0.0014046430587768555,-0.0005586685118032619,1.0312800407409668,0.2,-1.449034459888935,22457.70703125,41607.15708007813,0.0,0.0001,0.00052230654
2,3671,4096,1,-2.9182205,410,0.003118157386779785,-0.00027255385939497503,1.0316720008850098,0.2,-1.4495414644479752,373.4336242675781,793.7426887512207,0.0,0.0001,0.00021289304
3,3496,6144,1,-11.471706,420,0.004132866859436035,-0.0007893018278991804,1.0345326662063599,0.2,-1.4512901216745377,436.5933532714844,937.869287109375,0.000244140625,0.0001,0.00081646896
4,3403,8192,2,47.573956,430,-0.0023818016052246094,-0.0006506743869977072,1.0305497646331787,0.2,-1.4510776072740554,451.92913818359375,981.9273048400879,0.0,0.0001,0.000755833
5,3357,10240,3,38.464134,440,-0.0019304752349853516,-0.00030739777139388025,1.0307424068450928,0.2,-1.4490178629755974,1148.6639404296875,1807.8399475097656,0.0,0.0001,0.00016033044
6,3327,12288,3,2.3088598,450,0.002176344394683838,-0.0002767931466223672,1.0319123268127441,0.2,-1.449677513539791,733.3955688476562,1424.5421966552735,0.0,0.0001,0.00050316367
7,3306,14336,4,1.3558137,460,-0.001229405403137207,-9.864831226877869e-05,1.0340744256973267,0.2,-1.4514172419905662,788.5947875976562,1320.9079093933105,0.0,0.0001,0.00018612773
8,3291,16384,4,1.4633454,470,-0.0002551078796386719,-0.001555007099523209,1.0332931280136108,0.2,-1.452544404566288,1287.9471435546875,2481.4284637451174,0.015625,0.0001,0.0050205067
9,3266,18432,5,-0.50928867,480,0.0004038214683532715,-0.00013281050196383147,1.0331692695617676,0.2,-1.4518115058541299,1634.9228515625,3609.8025451660155,0.0,0.0001,5.6788063e-05
10,3256,20480,6,-1.5965047,490,-9.226799011230469e-05,-0.00017815287865232676,1.033240556716919,0.2,-1.4516043379902839,2054.95751953125,4326.200024414063,0.0,0.0001,3.587248e-05
11,3252,22528,6,-4.0204763,500,0.0004929304122924805,-0.0011362546239979566,1.0335594415664673,0.2,-1.451787069439888,2441.39453125,4355.196725463868,0.000146484375,0.0001,0.00091344333
12,3276,24576,7,4.575797,510,0.0013478994369506836,-0.0002444261510390788,1.033905029296875,0.2,-1.4520708724856377,2331.97265625,4425.315295410156,0.0,0.0001,5.276408e-05
13,3273,26624,8,-23.273586,520,0.0004469752311706543,-0.0007876637682784349,1.0342020988464355,0.2,-1.452440045773983,2387.479736328125,4382.379934692382,0.0,0.0001,0.0001965607
14,3220,28672,8,-70.510376,530,0.0011873841285705566,-0.0004434619448147714,1.0335042476654053,0.2,-1.4522303223609925,2074.282958984375,4041.86741027832,0.0,0.0001,4.3039705e-05
15,3215,30720,9,93.671364,540,0.0020249485969543457,-0.0009705580247100443,1.0338071584701538,0.2,-1.4520267799496651,1956.4921875,4020.8521270751953,9.765625e-05,0.0001,0.0015428561
16,3215,32768,10,31.03717,550,0.006229817867279053,-0.0011354235408362,1.0352038145065308,0.2,-1.4528265997767449,1383.7490234375,3402.5097991943358,9.765625e-05,0.0001,0.0003912893
17,3212,34816,10,-0.47494292,560,0.001895308494567871,-0.00232620291353669,1.0334742069244385,0.2,-1.452682365477085,1283.054443359375,2854.560334777832,0.001025390625,0.0001,0.002125476
18,3212,36864,11,-0.8813633,570,0.003848135471343994,-0.0002787129138596356,1.034952998161316,0.2,-1.4525518968701363,1592.0537109375,2993.090641784668,0.0,0.0001,0.00054534205
19,3212,38912,12,-0.15700485,580,0.0035979151725769043,-0.0011702462419634686,1.0371341705322266,0.2,-1.4541703134775161,2514.512451171875,4549.7291259765625,0.0,0.0001,0.0005240906
20,3204,40960,12,2.8306866,590,0.010052800178527832,-0.0003671024489449337,1.0371508598327637,0.2,-1.455518727004528,1385.9241943359375,3355.417901611328,0.0,0.0001,0.0001780061
