account_value,date,daily_return
1000000.0,2024-01-01,
1000011.5621704102,2024-01-02,1.1562170410206463e-05
997086.5145483399,2024-01-03,-0.0029250138025622707
998812.6906201172,2024-01-04,0.0017312199559325059
998774.3654736328,2024-01-05,-3.837070438161838e-05
997400.5559545899,2024-01-06,-0.001375495373663771
996252.6123632813,2024-01-07,-0.00115093538343769
1003942.0560668946,2024-01-08,0.007718367418252159
1004862.2804272461,2024-01-09,0.0009166110282865514
1026193.7052026368,2024-01-10,0.02122820727863428
1029919.4466674805,2024-01-11,0.003630641511397803
1019425.767565918,2024-01-12,-0.010188834802097313
1025657.0464013673,2024-01-13,0.006112538091250785
1012064.9107934572,2024-01-14,-0.013252125216318356
1017517.3465844728,2024-01-15,0.0053874368460624655
1028941.3418334962,2024-01-16,0.011227322352165059
1019423.9805468752,2024-01-17,-0.009249663610232495
1008969.0972436524,2024-01-18,-0.010255677228246274
1012990.7795947266,2024-01-19,0.003985932138120818
1009183.0940820313,2024-01-20,-0.0037588550551453936
1006023.193112793,2024-01-21,-0.0031311473485517993
975950.4532983399,2024-01-22,-0.029892690367707586
960496.4612451172,2024-01-23,-0.015834812106489626
958835.4728417969,2024-01-24,-0.0017293019499178275
955008.7622241211,2024-01-25,-0.003990998170243065
967358.9606103515,2024-01-26,0.012932026254364404
967514.7212304687,2024-01-27,0.00016101636151577559
964609.185925293,2024-01-28,-0.0030030915720646867
981346.1450878907,2024-01-29,0.017351026101356082
989277.5130200195,2024-01-30,0.008082130827974598
970669.3024584961,2024-01-31,-0.018809899463616775
977243.3617797852,2024-02-01,0.00677270755821624
978568.6047827149,2024-02-02,0.001356103356400462
974585.6049682618,2024-02-03,-0.004070230533645081
972355.300834961,2024-02-04,-0.002288464063014195
975602.3760766602,2024-02-05,0.00333939172122677
1001972.06296875,2024-02-06,0.027029133526851545
1021019.3297192383,2024-02-07,0.019009778270716593
1019536.415510254,2024-02-08,-0.0014523860281784318
1045879.7774804689,2024-02-09,0.025838568950997898
1051339.9609179688,2024-02-10,0.005220660686884537
1053915.2855493166,2024-02-11,0.0024495641058854822
1117119.282109375,2024-02-12,0.05997066123499262
1110428.403203125,2024-02-13,-0.0059894041875421244
1167429.5604296876,2024-02-14,0.05133258214769887
1186949.7166796876,2024-02-15,0.01672062873139457
1178260.9666796876,2024-02-16,-0.0073202342760614325
1171113.071171875,2024-02-17,-0.006066479082265763
1209889.7557421876,2024-02-18,0.033110965563308614
1237011.9530078126,2024-02-19,0.02241708150424615
1266382.114140625,2024-02-20,0.023742827271311828
1248259.8729296876,2024-02-21,-0.014310247285224342
1248533.6522265626,2024-02-22,0.00021932876543773183
1227807.0213671876,2024-02-23,-0.01660077869940657
1257512.6903125,2024-02-24,0.024194086227194544
1308043.4276171876,2024-02-25,0.04018308339467347
1335887.9100390626,2024-02-26,0.021287123832423704
1363408.676640625,2024-02-27,0.0206011046246819
1422706.196171875,2024-02-28,0.04349210955394267
1404316.840703125,2024-02-29,-0.01292561705166595
1443433.2371875,2024-03-01,0.027854395354818928
1437971.4940234376,2024-03-02,-0.003783855756782084
1466927.9100390626,2024-03-03,0.020136988901362063
1525492.78796875,2024-03-04,0.039923487397637736
1493795.707890625,2024-03-05,-0.020778256264541772
1604785.629765625,2024-03-06,0.07430060301333152
1627936.5916796876,2024-03-07,0.014426202157258539
1635376.2108203126,2024-03-08,0.004569968620798059
1645186.5330859376,2024-03-09,0.005998816786447092
1630811.684453125,2024-03-10,-0.008737519025182494
1708617.504765625,2024-03-11,0.04770987420205497
1672425.317265625,2024-03-12,-0.021182147203252844
1683422.5291796876,2024-03-13,0.006575607173923137
1631629.536015625,2024-03-14,-0.03076648450778463
1569503.0662890626,2024-03-15,-0.03807633311068448
1480311.821171875,2024-03-16,-0.05682769727113146
1530524.0721484376,2024-03-17,0.033920049991097434
1478264.321171875,2024-03-18,-0.03414500426850786
1326910.2049609376,2024-03-19,-0.10238636896204967
1476335.6639453126,2024-03-20,0.11261158322975895
1467766.8846484376,2024-03-21,-0.005804086093792571
1400859.5311328126,2024-03-22,-0.045584455008092606
1402080.05359375,2024-03-23,0.0008712668428294545
1451657.895390625,2024-03-24,0.03536020762138303
1508881.7674609376,2024-03-25,0.039419667851504414
1507462.6268359376,2024-03-26,-0.0009405247353396762
1470758.9744921876,2024-03-27,-0.0243479683611052
1496454.0330859376,2024-03-28,0.01747061145938056
1475669.1600390626,2024-03-29,-0.013889416305032154
1474047.1971484376,2024-03-30,-0.0010991372148633216
1532810.2830859376,2024-03-31,0.039865131897525385
1472823.188359375,2024-04-01,-0.03913536814601293
1377149.11609375,2024-04-02,-0.06495964554455402
1391516.1717578126,2024-04-03,0.01043246188532887
1399327.5975390626,2024-04-04,0.005613607617209526
1394642.3826953126,2024-04-05,-0.0033481901250212998
1409467.78796875,2024-04-06,0.010630255797035026
1451178.3201953126,2024-04-07,0.029593107825949927
1552733.520390625,2024-04-08,0.0699811999545612
1472879.1746875,2024-04-09,-0.05142823585275336
1489080.141484375,2024-04-10,0.010999521939953016
1472914.653203125,2024-04-11,-0.01085602301104871
1362785.239140625,2024-04-12,-0.07476971854615144
1262768.7401171876,2024-04-13,-0.07339124034430256
1326626.1717578126,2024-04-14,0.05056937950071427
1303382.719609375,2024-04-15,-0.01752072486074907
1296377.04578125,2024-04-16,-0.005374993639799541
1254296.1424609376,2024-04-17,-0.032460389095329
1288442.16296875,2024-04-18,0.027223252429699585
1285607.573125,2024-04-19,-0.002200013260369227
1326913.99890625,2024-04-20,0.03212988679029327
