time/fps,train/n_updates,train/critic_loss,train/learning_rate,time/episodes,time/total_timesteps,time/time_elapsed,train/reward,train/actor_loss
83,13471,2882.04833984375,0.0001,4,13572,163,0.0,4165.96826171875
82,27043,795.18896484375,0.0001,8,27144,328,0.0,2044.3255615234375
82,40615,3468.21240234375,0.0001,12,40716,490,0.0,1039.91015625
83,54187,263.46075439453125,0.0001,16,54288,652,0.0,545.0200805664062
83,67759,237.39059448242188,0.0001,20,67860,814,0.0,272.9007263183594
84,88775,2468.492431640625,0.0001,4,8976,105,0.0,29.657466888427734
84,97751,24731.853515625,0.0001,8,17952,213,0.0,138.58050537109375
83,106727,10.660517692565918,0.0001,12,26928,320,0.0,23.351486206054688
83,115703,149.91180419921875,0.0001,16,35904,428,0.0,26.645675659179688
83,124679,394.35308837890625,0.0001,20,44880,535,0.0,31.506210327148438
83,133655,3829.826171875,0.0001,24,53856,641,0.0,-67.37602996826172
83,142631,636.214111328125,0.0001,28,62832,748,0.0,31.192062377929688
83,151607,7.294825553894043,0.0001,32,71808,855,0.0,-3.5100607872009277
85,168675,23.036739349365234,0.0001,4,8976,105,0.0,-6.553981304168701
84,177651,0.3266535997390747,0.0001,8,17952,211,0.0,-1.2235853672027588
84,186627,0.05109386891126633,0.0001,12,26928,318,0.0,-0.055224161595106125
84,195603,23.270431518554688,0.0001,16,35904,425,0.0,4.385944843292236
84,204579,0.057003095746040344,0.0001,20,44880,531,0.0,-2.1649723052978516
84,213555,0.2826070785522461,0.0001,24,53856,639,0.0,-3.5916495323181152
83,222531,41.63070297241211,0.0001,28,62832,749,0.0,-11.638504028320312
83,231507,90.23509216308594,0.0001,32,71808,857,0.0,-2.0073273181915283
