account_rewards,date
-0.053491009515710175,2024-01-01
-0.8619140684604645,2024-01-02
0.16355569963343441,2024-01-03
-0.47548341448418796,2024-01-04
-0.40446330909617245,2024-01-05
-1.0119462305447087,2024-01-06
1.827222300809808,2024-01-07
-0.9089803332462907,2024-01-08
2.996374652371742,2024-01-09
0.20460120146162808,2024-01-10
-3.5035785901127383,2024-01-11
0.5677747547160834,2024-01-12
0.1444016647292301,2024-01-13
-0.04958843346685171,2024-01-14
-0.0017090642359107733,2024-01-15
-1.2815945070469752,2024-01-16
-2.7369022405473515,2024-01-17
-1.3827046531951055,2024-01-18
1.6798585057258606,2024-01-19
-1.4085292303934693,2024-01-20
-4.078409804147668,2024-01-21
-1.9806521105347201,2024-01-22
0.05256522598210722,2024-01-23
-1.056863306206651,2024-01-24
4.640613866504282,2024-01-25
-0.5068580210208893,2024-01-26
-1.6701336425030604,2024-01-27
3.0736512910807505,2024-01-28
-7.0790334469638765,2024-01-29
-2.2566068714950234,2024-01-30
0.8214270008029416,2024-01-31
1.4518887364538386,2024-02-01
2.8088192391442135,2024-02-02
-5.326545448275283,2024-02-03
1.0295785837806761,2024-02-04
-0.3978236705297604,2024-02-05
3.19026764575392,2024-02-06
0.2760589426616207,2024-02-07
4.4806454395875335,2024-02-08
-0.7728727674111724,2024-02-09
0.8032869457965717,2024-02-10
2.4362002462148666,2024-02-11
-3.041986674652435,2024-02-12
5.963799196528271,2024-02-13
10.953907448099926,2024-02-14
1.0086789954220876,2024-02-15
-7.090436491998844,2024-02-16
3.3626690172823146,2024-02-17
2.784477304201573,2024-02-18
0.15688609424978495,2024-02-19
-7.103800334967673,2024-02-20
-4.212300037732348,2024-02-21
-3.3868205732433125,2024-02-22
5.710012917523272,2024-02-23
-1.4865997802698985,2024-02-24
5.023395788040943,2024-02-25
19.860685443272814,2024-02-26
-6.065102682681754,2024-02-27
6.197479065624066,2024-02-28
9.333159386529587,2024-02-29
26.200191951356828,2024-03-01
-11.02946091000922,2024-03-02
14.522182630258612,2024-03-03
-36.634995592874475,2024-03-04
12.572883231681772,2024-03-05
10.79874521435704,2024-03-06
-4.474546051584184,2024-03-07
-0.10819594445638359,2024-03-08
-9.23359999479726,2024-03-09
76.71671641175635,2024-03-10
-21.184349444461986,2024-03-11
1.9666229301365092,2024-03-12
-15.324485431308858,2024-03-13
-26.816876042517833,2024-03-14
-23.014102782588452,2024-03-15
12.28468318702653,2024-03-16
21.810224062763155,2024-03-17
-49.2431964505231,2024-03-18
21.893735949415714,2024-03-19
22.81706906913314,2024-03-20
-24.097428924404085,2024-03-21
5.444422946544364,2024-03-22
12.737674986710772,2024-03-23
6.784229791723192,2024-03-24
-7.470273832092062,2024-03-25
-17.454865840030834,2024-03-26
10.947172610787675,2024-03-27
5.446253849891946,2024-03-28
-7.939762013498694,2024-03-29
6.6438897389452904,2024-03-30
-16.356303479638882,2024-03-31
-23.734700207132846,2024-04-01
-9.816432887339033,2024-04-02
17.608896787744015,2024-04-03
-5.832305487943813,2024-04-04
5.578441023826599,2024-04-05
1.4432951253838837,2024-04-06
20.236921513685957,2024-04-07
-1.6624672466423362,2024-04-08
3.7378679871326312,2024-04-09
-8.773984881583601,2024-04-10
-61.68140012677759,2024-04-11
-69.6283393263584,2024-04-12
24.371741530951113,2024-04-13
-6.858368244720623,2024-04-14
-1.103124940651469,2024-04-15
-1.9887495992006734,2024-04-16
8.788373437826522,2024-04-17
0.8702983534894884,2024-04-18
28.052632733015344,2024-04-19
-5.125703253201209,2024-04-20
36.006124812411144,2024-04-21
-13.197240893845446,2024-04-22
-20.246119648218155,2024-04-23
-2.1811088151298463,2024-04-24
